Country,Biome,Site,Latitude,Longitude,Altitude,Atm_Press,Responsible,Species,Family,Genus,PFT_LPJ,PFT_Sheffield,PFT_JULES,PFT_Wright,PFT_JULES2,PFT_Exeter,H.sphere,Temp.class,Aa_sat,gs_sat,Ci_sat,LfT_sat,Rdark_a,LfT_Rdark,Am_sat,Rdark_m,FixedQ10,varQ10,Rdarka_25C_FixedQ10,Rdarkm_25C_FixedQ10,Rdarka_TWQ.T_FixedQ10,Rdarka_25C_varQ10,Rdarkm_25C_varQ10,Rdarka_MeasMonth.T_varQ10,Rdarkm_MeasMonth.T_varQ10,Rdarka_TWQ.T_varQ10,Rdarkm_TWQ.T_varQ10,Leaf_Nm,Leaf_Pm,Leaf_Na,Leaf_Pa,LMA,Vcmax_a_LfT,Vcmax_a_25,Vcmax_m_25,Rdarka:Vcmax_LfT,Rdarka:Vcmax_25C_varQ10,MAT,MeanT_WarmestQtr,Annual_Precip,Precip_Warmest_Qtr,Measuring_Month_MeanT,ai_yr,pet_yr
Sth Africa,TeW,Mooney_etal83_Jonk_Mtn,-33.83,18.83,600,94.37,Wright,Protea acaulos,Proteaceae,Protea,TmpEvBl,EvBl,S,AnEvBlS,EvS,SEv,South,4th~20to25,4.80,NA,NA,21,0.80,21,27.4,4.6,2.23,2.1,1.10,6.3,0.80,1.08,6.2,NA,NA,0.80,4.6,12.50,NA,2.13,NA,174.9,NA,NA,NA,NA,NA,16.6,21,754,67,NA,0.572,1318
Sth Africa,TeW,Mooney_etal83_Jonk_Mtn,-33.83,18.83,600,94.37,Wright,Protea neriifolia,Proteaceae,Protea,TmpEvBl,EvBl,S,AnEvBlS,EvS,SEv,South,4th~20to25,7.90,NA,NA,21,0.50,21,35.4,2.2,2.23,2.1,0.69,3.1,0.50,0.67,3.0,NA,NA,0.50,2.2,10.90,NA,2.44,NA,223.4,NA,NA,NA,NA,NA,16.6,21,754,67,NA,0.572,1318
Sth Africa,TeW,Mooney_etal83_Jonk_Mtn,-33.83,18.83,600,94.37,Wright,Protea nitida,Proteaceae,Protea,TmpEvBl,EvBl,S,AnEvBlS,EvS,SEv,South,4th~20to25,6.90,NA,NA,21,0.80,21,27.3,3.2,2.23,2.1,1.10,4.4,0.80,1.08,4.3,NA,NA,0.80,3.2,10.30,NA,2.59,NA,252.6,NA,NA,NA,NA,NA,16.6,21,754,67,NA,0.572,1318
Sth Africa,TeW,Mooney_etal83_Jonk_Mtn,-33.83,18.83,600,94.37,Wright,Protea repens,Proteaceae,Protea,TmpEvBl,EvBl,S,AnEvBlS,EvS,SEv,South,4th~20to25,12.61,NA,NA,21,1.00,21,54.3,4.3,2.23,2.1,1.38,5.9,1.00,1.35,5.8,NA,NA,1.00,4.3,13.70,NA,3.18,NA,232.1,NA,NA,NA,NA,NA,16.6,21,754,67,NA,0.572,1318
Panama,TrRF_lw,PNM,8.983,-79.55,100,100.13,Slot,Albizia guachapele,Fabaceae,Albizia,TrpDcBl,DcBl,BlT,AnDcBlT,DcBlT,BlDcTrp,North,5th~25plus,12.40,0.600,355.0,28,1.16,28.131875,140.9,13.1,2.23,1.946875,0.89,10.1,1.11,0.93,10.6,NA,NA,1.12,12.7,30.27,1.01,2.68,89,88.5,53.8,41.5,471.4,0.02,0.02,27,27.7,1820,300,NA,1.186,1535
Panama,TrRF_lw,PNM,8.983,-79.55,100,100.13,Slot,Anacardium excelsum,Anacardiaceae,Anacardium,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,13.80,0.550,356.0,28,1.29,25.6226087,126.1,11.8,2.23,2.00173913,1.21,11.0,1.51,1.23,11.2,NA,NA,1.48,13.5,13.60,1.40,1.50,153,109.9,59.8,46.1,420.8,0.02,0.03,27,27.7,1820,300,NA,1.186,1535
Panama,TrRF_lw,PNM,8.983,-79.55,100,100.13,Slot,AnnoNAspraguei,Annonaceae,Annona,TrpDcBl,DcBl,BlT,AnDcBlT,DcBlT,BlDcTrp,North,5th~25plus,13.50,0.560,358.0,28,1.15,26.64818182,152.2,12.9,2.23,1.980909091,0.99,11.1,1.22,1.01,11.4,NA,NA,1.22,13.7,28.30,1.70,2.51,150,88.8,57.7,44.5,501.6,0.02,0.02,27,27.7,1820,300,NA,1.186,1535
Panama,TrRF_lw,PNM,8.983,-79.55,100,100.13,Slot,Astronium graveolens,Anacardiaceae,Astronium,TrpDcBl,DcBl,BlT,AnDcBlT,DcBlT,BlDcTrp,North,5th~25plus,12.80,0.150,319.0,28,1.28,27.30130435,147.3,14.7,2.23,1.966086957,1.07,12.2,1.33,1.11,12.6,NA,NA,1.32,15.1,29.00,2.00,2.55,175,88.1,61.4,47.3,544.3,0.02,0.02,27,27.7,1820,300,NA,1.186,1535
Panama,TrRF_lw,PNM,8.983,-79.55,100,100.13,Slot,Castilla elastica var costaricana,Moraceae,Castilla,TrpDcBl,DcBl,BlT,AnDcBlT,DcBlT,BlDcTrp,North,5th~25plus,19.50,0.800,346.0,28,1.26,25.74344828,187.2,12.1,2.23,2.000344828,1.17,11.2,1.45,1.18,11.4,NA,NA,1.42,13.7,27.50,1.70,2.87,177,104.4,84.2,64.9,623.4,0.01,0.02,27,27.7,1820,300,NA,1.186,1535
Panama,TrRF_lw,PNM,8.983,-79.55,100,100.13,Slot,Cecropia peltata,Urticaceae,Cecropia,TrpDcBl,DcBl,BlT,AnDcBlT,DcBlT,BlDcTrp,North,5th~25plus,19.83,0.770,337.0,28,1.68,27.39076923,198.7,17.0,2.23,1.963076923,1.36,13.7,1.69,1.41,14.2,NA,NA,1.69,17.1,28.40,1.70,2.85,170,100.4,89.3,68.8,690.1,0.02,0.02,27,27.7,1820,300,NA,1.186,1535
Panama,TrRF_lw,PNM,8.983,-79.55,100,100.13,Slot,Chrysophyllum cainito,Sapotaceae,Chrysophyllum,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,14.10,0.850,364.0,28,0.94,26.9328,121.0,8.1,2.23,1.972,0.79,6.8,0.98,0.82,7.0,NA,NA,0.98,8.4,18.40,1.00,2.15,117,116.8,58.5,45.1,386.7,0.02,0.02,27,27.7,1820,300,NA,1.186,1535
Panama,TrRF_lw,PNM,8.983,-79.55,100,100.13,Slot,Ficus insipida,Moraceae,Ficus,TrpDcBl,DcBl,BlT,AnDcBlT,DcBlT,BlDcTrp,North,5th~25plus,23.44,0.580,312.0,28,1.59,26.60307692,159.8,10.8,2.23,1.98,1.39,9.5,1.73,1.42,9.7,NA,NA,1.71,11.7,22.80,1.70,3.35,250,146.9,111.2,85.7,584.6,0.01,0.02,27,27.7,1820,300,NA,1.186,1535
Panama,TrRF_lw,PNM,8.983,-79.55,100,100.13,Slot,Luehea seemannii,Tiliaceae,Luehea,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,19.82,0.470,315.0,28,1.26,26.24941176,189.5,12.0,2.23,1.988235294,1.14,10.9,1.41,1.16,11.0,NA,NA,1.39,13.3,24.60,1.50,2.58,157,104.8,92.9,71.6,684.6,0.01,0.02,27,27.7,1820,300,NA,1.186,1535
Panama,TrRF_lw,PNM,8.983,-79.55,100,100.13,Slot,Pittoniotis trichantha,Rubiaceae,Pittoniotis,TrpDcBl,DcBl,BlT,AnDcBlT,DcBlT,BlDcTrp,North,5th~25plus,15.09,0.780,344.0,28,1.34,26.04083333,222.2,19.8,2.23,1.991666667,1.21,17.8,1.50,1.23,18.1,NA,NA,1.48,21.8,41.10,1.40,2.80,95,68.1,67.0,51.7,760.7,0.02,0.03,27,27.7,1820,300,NA,1.186,1535
Panama,TrRF_lw,PNM,8.983,-79.55,100,100.13,Slot,Pseudobombax septenatum,Malvaceae,Pseudobombax,TrpDcBl,DcBl,BlT,AnDcBlT,DcBlT,BlDcTrp,North,5th~25plus,13.50,0.450,332.0,28,1.30,27.36409091,131.9,12.6,2.23,1.964545455,1.07,10.4,1.33,1.11,10.8,NA,NA,1.33,12.9,19.40,NA,2.00,NA,103.2,62.3,48.0,468.8,0.02,0.02,27,27.7,1820,300,NA,1.186,1535
Panama,TrRF_lw,PNM,8.983,-79.55,100,100.13,Slot,Spondias mombin,Anacardiaceae,Spondias,TrpDcBl,DcBl,BlT,AnDcBlT,DcBlT,BlDcTrp,North,5th~25plus,12.90,0.710,351.0,28,1.60,26.36933333,126.3,15.7,2.23,1.985333333,1.43,13.9,1.77,1.46,14.2,NA,NA,1.76,17.1,23.60,1.30,2.42,132,102.7,58.1,44.8,438.7,0.03,0.03,27,27.7,1820,300,NA,1.186,1535
Panama,TrRF_lw,PNM,8.983,-79.55,100,100.13,Slot,Zuelania guidonia,Flacourtiaceae,Zuelania,TrpDcBl,DcBl,BlT,AnDcBlT,DcBlT,BlDcTrp,North,5th~25plus,17.30,1.840,361.0,28,1.54,26.28833333,139.6,12.4,2.23,1.9875,1.37,11.1,1.70,1.40,11.3,NA,NA,1.68,13.6,NA,NA,NA,NA,124.2,73.7,56.8,458.7,0.02,0.02,27,27.7,1820,300,NA,1.186,1535
USA-MN,BF,Red_Lake,47.803,-95.007,400,96.63,Reich,Pinus banksiana,Pinaceae,Pinus,BorEvNl,EvNl,NlT,GyEvNlT,EvNlT,NlEv,North,3rd~15to20,NA,NA,NA,20,NA,20,NA,3.7,2.23,2.12,NA,5.6,NA,NA,5.4,NA,NA,NA,3.3,11.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,18.3,599,278,NA,0.749,800
USA-CO,Tu,Reichetal_Colorado,40.05,-105.6,3360,68.03,Wright,Abies lasiocarpa,Pinaceae,Abies,BorEvNl,EvNl,NlT,GyEvNlT,EvNlT,NlEv,North,1st~below10,2.92,0.081,263.0,25,0.88,25,11.5,3.5,2.23,2.02,0.88,3.5,0.22,0.88,3.5,NA,NA,0.26,1.0,10.30,NA,2.62,NA,254.5,15.1,15.1,59.2,0.06,0.06,-2.6,7.5,811,203,NA,1.198,677
USA-CO,Tu,Reichetal_Colorado,40.05,-105.6,3360,68.03,Wright,Arctostaphylos uva-ursi,Ericaceae,Arctostaphylos,TmpEvBl,EvBl,S,AnEvBlS,EvS,SEv,North,1st~below10,4.40,0.191,294.0,25,0.68,25,31.8,5.3,2.23,2.02,0.68,5.3,0.17,0.68,5.3,NA,NA,0.20,1.6,12.30,NA,1.57,NA,127.6,18.3,18.3,143.6,0.04,0.04,-2.6,7.5,811,203,NA,1.198,677
USA-CO,Tu,Reichetal_Colorado,40.05,-105.6,3360,68.03,Wright,Bistorta bistortoides,Polygonaceae,Bistorta,TmpH,C3H,C3H,AnC3H,C3H,C3H,North,1st~below10,11.10,0.512,300.0,25,2.35,25,136.0,28.4,2.23,2.02,2.35,28.4,0.58,2.35,28.4,NA,NA,0.69,8.3,39.00,NA,3.22,NA,82.6,47.7,47.7,577.4,0.05,0.05,-2.6,7.5,811,203,NA,1.198,677
USA-CO,Tu,Reichetal_Colorado,40.05,-105.6,3360,68.03,Wright,Geum rosii,Rosaceae,Geum,TmpH,C3H,C3H,AnC3H,C3H,C3H,North,1st~below10,10.80,0.673,313.0,25,1.76,25,120.4,20.9,2.23,2.02,1.76,20.9,0.43,1.76,20.9,NA,NA,0.52,6.1,25.00,NA,2.10,NA,84.0,43.1,43.1,512.3,0.04,0.04,-2.6,7.5,811,203,NA,1.198,677
USA-CO,Tu,Reichetal_Colorado,40.05,-105.6,3360,68.03,Wright,Picea engelmannii,Pinaceae,Picea,BorEvNl,EvNl,NlT,GyEvNlT,EvNlT,NlEv,North,1st~below10,3.55,0.096,261.0,25,0.98,25,11.6,3.2,2.23,2.02,0.98,3.2,0.24,0.98,3.2,NA,NA,0.29,0.9,10.30,NA,3.15,NA,305.8,18.1,18.1,59.2,0.05,0.05,-2.6,7.5,811,203,NA,1.198,677
USA-CO,Tu,Reichetal_Colorado,40.05,-105.6,3360,68.03,Wright,Pinus flexilis,Pinaceae,Pinus,BorEvNl,EvNl,NlT,GyEvNlT,EvNlT,NlEv,North,1st~below10,9.74,0.257,260.0,25,1.47,25,25.9,4.0,2.23,2.02,1.47,4.0,0.36,1.47,4.0,NA,NA,0.43,1.2,11.20,NA,4.10,NA,366.3,44.9,44.9,122.5,0.03,0.03,-2.6,7.5,811,203,NA,1.198,677
USA-CO,Tu,Reichetal_Colorado,40.05,-105.6,3360,68.03,Wright,Psychrophila leptosepala,Ranunculaceae,Psychrophila,TmpH,C3H,C3H,AnC3H,C3H,C3H,North,1st~below10,8.70,0.462,306.0,25,1.21,25,110.0,15.3,2.23,2.02,1.21,15.3,0.30,1.21,15.3,NA,NA,0.36,4.5,29.00,NA,2.30,NA,79.4,34.6,34.6,436.2,0.04,0.04,-2.6,7.5,811,203,NA,1.198,677
USA-CO,Tu,Reichetal_Colorado,40.05,-105.6,3360,68.03,Wright,Salix glauca,Salicaceae,Salix,BorDcBl,DcBl,BlT,AnDcBlT,DcBlT,BlDcTmp,North,1st~below10,10.24,0.481,300.0,25,1.44,25,124.3,17.7,2.23,2.02,1.44,17.7,0.35,1.44,17.7,NA,NA,0.42,5.2,26.30,NA,2.14,NA,81.4,41.5,41.5,509.1,0.04,0.03,-2.6,7.5,811,203,NA,1.198,677
USA-CO,Tu,Reichetal_Colorado,40.05,-105.6,3360,68.03,Wright,Salix planifolia,Salicaceae,Salix,BorDcBl,DcBl,BlT,AnDcBlT,DcBlT,BlDcTmp,North,1st~below10,12.20,0.542,298.0,25,2.02,25,151.4,24.8,2.23,2.02,2.02,24.8,0.50,2.02,24.8,NA,NA,0.59,7.3,26.70,NA,2.17,NA,81.3,50.7,50.7,624.0,0.04,0.04,-2.6,7.5,811,203,NA,1.198,677
USA-CO,Tu,Reichetal_Colorado,40.05,-105.6,3360,68.03,Wright,Vaccinium myrtillus,Ericaceae,Vaccinium,BorDcBl,DcBl,S,AnDcBlS,DcS,BlDcTmp,North,1st~below10,6.10,0.249,291.0,25,0.62,25,104.5,10.6,2.23,2.02,0.62,10.6,0.15,0.62,10.6,NA,NA,0.18,3.1,23.40,NA,1.37,NA,58.5,24.5,24.5,418.2,0.03,0.03,-2.6,7.5,811,203,NA,1.198,677
USA-NM,Sa,Reichetal_New_Mexico,34,-107,1620,83.62,Wright,Atriplex canescens,Chenopodiaceae,Atriplex,TmpEvBl,EvBl,S,AnEvBlSC4,EvS,SEv,North,4th~20to25,17.10,0.350,234.0,25,3.10,25,79.0,12.3,2.23,2.02,3.10,12.3,2.48,3.10,12.3,NA,NA,2.55,10.1,21.00,NA,5.29,NA,251.9,NA,NA,NA,NA,NA,12.5,22.2,275,127,NA,0.189,1457
USA-NM,Sa,Reichetal_New_Mexico,34,-107,1620,83.62,Wright,Baccharis angustifolia,Asteraceae,Baccharis,TmpDcBl,DcBl,S,AnDcBlS,DcS,BlDcTmp,North,4th~20to25,18.70,0.575,275.0,25,1.65,25,197.8,17.3,2.23,2.02,1.65,17.3,1.32,1.65,17.3,NA,NA,1.35,14.2,19.50,NA,1.86,NA,95.2,82.2,82.2,862.9,0.02,0.02,12.5,22.2,275,127,NA,0.189,1457
USA-NM,Sa,Reichetal_New_Mexico,34,-107,1620,83.62,Wright,Elaeagnus angustifolia,Elaeagnaceae,Elaeagnus,TmpDcBl,DcBl,BlT,AnDcBlT,DcBlT,BlDcTmp,North,4th~20to25,14.10,0.404,268.0,25,1.89,25,175.1,23.4,2.23,2.02,1.89,23.4,1.51,1.89,23.4,NA,NA,1.55,19.2,39.80,NA,3.21,NA,80.6,66.0,66.0,818.6,0.03,0.03,12.5,22.2,275,127,NA,0.189,1457
USA-NM,Sa,Reichetal_New_Mexico,34,-107,1620,83.62,Wright,Gutierrezia sarothrae,Asteraceae,Gutierrezia,TmpDcBl,DcBl,S,AnDcBlS,DcS,BlDcTmp,North,4th~20to25,14.70,0.641,297.0,25,4.22,25,59.0,14.3,2.23,2.02,4.22,14.3,3.37,4.22,14.3,NA,NA,3.47,11.8,16.80,NA,4.96,NA,295.0,71.5,71.5,242.5,0.06,0.06,12.5,22.2,275,127,NA,0.189,1457
USA-NM,Sa,Reichetal_New_Mexico,34,-107,1620,83.62,Wright,Juniperus monosperma,Cupressaceae,Juniperus,TmpEvNl,EvNl,NlT,GyEvNlT,EvNlT,NlEv,North,4th~20to25,7.70,0.151,227.0,25,3.75,25,11.6,4.8,2.23,2.02,3.75,4.8,3.00,3.75,4.8,NA,NA,3.08,3.9,11.70,NA,9.14,NA,781.3,55.0,55.0,70.4,0.07,0.07,12.5,22.2,275,127,NA,0.189,1457
USA-NM,Sa,Reichetal_New_Mexico,34,-107,1620,83.62,Wright,Larrea tridentata,Zygophyllaceae,Larrea,TmpEvBl,EvBl,S,AnEvBlS,EvS,SEv,North,4th~20to25,18.30,0.330,218.0,25,1.97,25,85.0,7.8,2.23,2.02,1.97,7.8,1.57,1.97,7.8,NA,NA,1.62,6.4,19.40,NA,4.90,NA,252.5,101.2,101.2,400.8,0.02,0.02,12.5,22.2,275,127,NA,0.189,1457
USA-NM,Sa,Reichetal_New_Mexico,34,-107,1620,83.62,Wright,Populus fremontii,Salicaceae,Populus,TmpDcBl,DcBl,BlT,AnDcBlT,DcBlT,BlDcTmp,North,4th~20to25,14.40,0.495,282.0,25,1.74,25,120.0,14.6,2.23,2.02,1.74,14.6,1.39,1.74,14.6,NA,NA,1.43,12.0,16.60,NA,1.98,NA,119.3,63.8,63.8,534.4,0.03,0.03,12.5,22.2,275,127,NA,0.189,1457
USA-NM,Sa,Reichetal_New_Mexico,34,-107,1620,83.62,Wright,Prosopis glandulosa,Fabaceae,Prosopis,TmpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTmp,North,4th~20to25,17.90,0.367,235.0,25,1.50,25,92.0,8.7,2.23,2.02,1.50,8.7,1.20,1.50,8.7,NA,NA,1.24,7.2,24.90,NA,4.86,NA,195.3,90.2,90.2,462.0,0.02,0.02,12.5,22.2,275,127,NA,0.189,1457
USA-NM,Sa,Reichetal_New_Mexico,34,-107,1620,83.62,Wright,Quercus turbinella,Fagaceae,Quercus,TmpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTmp,North,4th~20to25,NA,NA,NA,25,2.36,25,NA,15.6,2.23,2.02,2.36,15.6,1.89,2.36,15.6,NA,NA,1.94,12.8,15.40,NA,2.33,NA,151.5,NA,NA,NA,NA,NA,12.5,22.2,275,127,NA,0.189,1457
Venezuela,TrRF_lw,Reichetal_Venezuela,1.93,-67.05,120,99.89,Wright,Bellucia grossularioides,Melastomataceae,Bellucia,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,13.98,1.707,334.0,25,1.01,25,111.5,7.9,2.23,2.02,1.01,7.9,1.15,1.01,7.9,NA,NA,1.13,8.8,16.90,NA,2.16,NA,128.0,54.3,54.3,423.8,0.02,0.02,26.3,26.6,3430,740,NA,1.725,1988
Venezuela,TrRF_lw,Reichetal_Venezuela,1.93,-67.05,120,99.89,Wright,Cecropia ficifolia,Urticaceae,Cecropia,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,17.70,2.272,335.0,25,1.24,25,252.2,18.0,2.23,2.02,1.24,18.0,1.42,1.24,18.0,NA,NA,1.39,20.1,24.70,NA,1.71,NA,69.2,68.4,68.4,989.0,0.02,0.02,26.3,26.6,3430,740,NA,1.725,1988
Venezuela,TrRF_lw,Reichetal_Venezuela,1.93,-67.05,120,99.89,Wright,Licania heteromorpha,Chrysobalanaceae,Licania,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,7.98,0.378,300.0,25,0.77,25,53.8,5.2,2.23,2.02,0.77,5.2,0.87,0.77,5.2,NA,NA,0.86,5.8,13.00,NA,1.93,NA,148.6,34.6,34.6,233.0,0.02,0.02,26.3,26.6,3430,740,NA,1.725,1988
Venezuela,TrRF_lw,Reichetal_Venezuela,1.93,-67.05,120,99.89,Wright,Manihot esculenta,Euphorbiaceae,Manihot,TrpEvBl,EvBl,S,AnEvBlS,EvS,SEv,North,5th~25plus,16.90,1.132,318.0,25,1.21,25,467.9,33.3,2.23,2.02,1.21,33.3,1.38,1.21,33.3,NA,NA,1.35,37.3,39.80,NA,1.45,NA,36.4,68.3,68.3,1877.4,0.02,0.02,26.3,26.6,3430,740,NA,1.725,1988
Venezuela,TrRF_lw,Reichetal_Venezuela,1.93,-67.05,120,99.89,Wright,Miconia dispar,Melastomataceae,Miconia,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,10.29,1.009,328.0,25,0.57,25,91.8,5.2,2.23,2.02,0.57,5.2,0.65,0.57,5.2,NA,NA,0.64,5.8,15.90,NA,1.76,NA,110.7,39.9,39.9,360.2,0.01,0.01,26.3,26.6,3430,740,NA,1.725,1988
Venezuela,TrRF_lw,Reichetal_Venezuela,1.93,-67.05,120,99.89,Wright,Ocotea costulata,Lauraceae,Ocotea,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,5.89,0.329,307.0,25,0.65,25,44.9,5.0,2.23,2.02,0.65,5.0,0.74,0.65,5.0,NA,NA,0.73,5.6,15.00,NA,1.95,NA,130.2,25.4,25.4,195.0,0.03,0.03,26.3,26.6,3430,740,NA,1.725,1988
Venezuela,TrRF_lw,Reichetal_Venezuela,1.93,-67.05,120,99.89,Wright,Protium sp,Burseraceae,Protium,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,6.11,0.351,309.5,25,0.70,25,51.0,5.9,2.23,2.02,0.70,5.9,0.80,0.70,5.9,NA,NA,0.79,6.6,13.15,NA,1.58,NA,118.8,26.5,26.5,221.3,0.03,0.03,26.3,26.6,3430,740,NA,1.725,1988
Venezuela,TrRF_lw,Reichetal_Venezuela,1.93,-67.05,120,99.89,Wright,Vismia japurensis,Hypericaceae,Vismia,TrpDcBl,DcBl,BlT,AnDcBlT,DcBlT,BlDcTrp,North,5th~25plus,12.84,0.975,321.0,25,0.88,25,140.4,9.3,2.23,2.02,0.88,9.3,1.00,0.88,9.3,NA,NA,0.99,10.4,16.40,NA,1.56,NA,94.9,51.3,51.3,540.8,0.02,0.02,26.3,26.6,3430,740,NA,1.725,1988
Venezuela,TrRF_lw,Reichetal_Venezuela,1.93,-67.05,120,99.89,Wright,Vismia lauriformis,Hypericaceae,Vismia,TrpDcBl,DcBl,BlT,AnDcBlT,DcBlT,BlDcTrp,North,5th~25plus,13.78,0.889,315.0,25,0.96,25,159.3,11.0,2.23,2.02,0.96,11.0,1.09,0.96,11.0,NA,NA,1.08,12.3,17.90,NA,1.57,NA,87.5,56.0,56.0,640.0,0.02,0.02,26.3,26.6,3430,740,NA,1.725,1988
USA-WI,TeG,Reichetal_Wisconsin,42.5,-90,275,98.07,Wright,Acer rubrum,Sapindaceae,Acer,TmpDcBl,DcBl,BlT,AnDcBlT,DcBlT,BlDcTmp,North,4th~20to25,6.50,NA,NA,25,0.75,25,108.0,12.4,2.23,2.02,0.75,12.4,0.53,0.75,12.4,NA,NA,0.55,9.2,21.00,NA,1.27,NA,60.2,NA,NA,NA,NA,NA,7.8,20.7,884,315,NA,0.925,956
USA-WI,TeG,Reichetal_Wisconsin,42.5,-90,275,98.07,Wright,Acer saccharum,Sapindaceae,Acer,TmpDcBl,DcBl,BlT,AnDcBlT,DcBlT,BlDcTmp,North,4th~20to25,7.60,NA,NA,25,0.56,25,100.0,7.0,2.23,2.02,0.56,7.0,0.40,0.56,7.0,NA,NA,0.41,5.2,18.50,NA,1.48,NA,80.0,NA,NA,NA,NA,NA,7.8,20.7,884,315,NA,0.925,956
USA-WI,TeG,Reichetal_Wisconsin,42.5,-90,275,98.07,Wright,Baptisia leucophaea,Fabaceae,Baptisia,TmpH,C3H,C3H,AnC3H,C3H,C3H,North,4th~20to25,14.96,0.481,277.0,25,3.42,25,159.0,36.3,2.23,2.02,3.42,36.3,2.42,3.42,36.3,NA,NA,2.53,26.9,35.90,NA,3.38,NA,94.1,77.5,77.5,823.2,0.04,0.04,7.8,20.7,884,315,NA,0.925,956
USA-WI,TeG,Reichetal_Wisconsin,42.5,-90,275,98.07,Wright,Echinacea purpurea,Asteraceae,Echinacea,TmpH,C3H,C3H,AnC3H,C3H,C3H,North,4th~20to25,9.77,0.480,302.0,25,1.34,25,122.9,17.2,2.23,2.02,1.34,17.2,0.95,1.34,17.2,NA,NA,0.99,12.7,15.00,NA,1.17,NA,77.8,43.5,43.5,558.4,0.03,0.03,7.8,20.7,884,315,NA,0.925,956
USA-WI,TeG,Reichetal_Wisconsin,42.5,-90,275,98.07,Wright,Erythronium americanum,Liliaceae,Erythronium,TmpH,C3H,C3H,AnC3H,C3H,C3H,North,4th~20to25,11.90,0.359,272.0,25,2.34,25,263.0,52.0,2.23,2.02,2.34,52.0,1.66,2.34,52.0,NA,NA,1.73,38.5,42.00,NA,1.89,NA,45.0,61.0,61.0,1354.5,0.04,0.04,7.8,20.7,884,315,NA,0.925,956
USA-WI,TeG,Reichetal_Wisconsin,42.5,-90,275,98.07,Wright,Picea glauca,Pinaceae,Picea,TmpEvNl,EvNl,NlT,GyEvNlT,EvNlT,NlEv,North,4th~20to25,6.57,0.190,266.0,25,1.14,25,23.0,4.0,2.23,2.02,1.14,4.0,0.81,1.14,4.0,NA,NA,0.85,3.0,12.40,NA,3.54,NA,285.7,33.7,33.7,118.0,0.03,0.03,7.8,20.7,884,315,NA,0.925,956
USA-WI,TeG,Reichetal_Wisconsin,42.5,-90,275,98.07,Wright,Pinus banksiana,Pinaceae,Pinus,TmpEvNl,EvNl,NlT,GyEvNlT,EvNlT,NlEv,North,4th~20to25,7.56,0.231,271.0,25,1.46,25,31.0,6.0,2.23,2.02,1.46,6.0,1.04,1.46,6.0,NA,NA,1.08,4.4,12.40,NA,3.02,NA,243.9,38.8,38.8,159.0,0.04,0.04,7.8,20.7,884,315,NA,0.925,956
USA-WI,TeG,Reichetal_Wisconsin,42.5,-90,275,98.07,Wright,Pinus strobus,Pinaceae,Pinus,TmpEvNl,EvNl,NlT,GyEvNlT,EvNlT,NlEv,North,4th~20to25,6.08,0.205,278.0,25,0.64,25,45.0,4.7,2.23,2.02,0.64,4.7,0.45,0.64,4.7,NA,NA,0.47,3.5,17.00,NA,2.30,NA,135.1,28.2,28.2,208.8,0.02,0.02,7.8,20.7,884,315,NA,0.925,956
USA-WI,TeG,Reichetal_Wisconsin,42.5,-90,275,98.07,Wright,Pinus sylvestris,Pinaceae,Pinus,TmpEvNl,EvNl,NlT,GyEvNlT,EvNlT,NlEv,North,4th~20to25,10.30,NA,NA,25,1.82,25,35.0,6.2,2.23,2.02,1.82,6.2,1.29,1.82,6.2,NA,NA,1.35,4.6,13.90,NA,4.09,NA,294.1,NA,NA,NA,NA,NA,7.8,20.7,884,315,NA,0.925,956
USA-WI,TeG,Reichetal_Wisconsin,42.5,-90,275,98.07,Wright,Populus deltoides,Salicaceae,Populus,TmpDcBl,DcBl,BlT,AnDcBlT,DcBlT,BlDcTmp,North,4th~20to25,14.80,0.595,293.0,25,1.27,25,162.0,14.0,2.23,2.02,1.27,14.0,0.90,1.27,14.0,NA,NA,0.94,10.4,23.60,NA,2.15,NA,90.9,64.5,64.5,709.8,0.02,0.02,7.8,20.7,884,315,NA,0.925,956
