Country,Biome,Site,Latitude,Longitude,Altitude,Atm_Press,Responsible,Species,Family,Genus,PFT_LPJ,PFT_Sheffield,PFT_JULES,PFT_Wright,PFT_JULES2,PFT_Exeter,H.sphere,Temp.class,Aa_sat,gs_sat,Ci_sat,LfT_sat,Rdark_a,LfT_Rdark,Am_sat,Rdark_m,FixedQ10,varQ10,Rdarka_25C_FixedQ10,Rdarkm_25C_FixedQ10,Rdarka_TWQ.T_FixedQ10,Rdarka_25C_varQ10,Rdarkm_25C_varQ10,Rdarka_MeasMonth.T_varQ10,Rdarkm_MeasMonth.T_varQ10,Rdarka_TWQ.T_varQ10,Rdarkm_TWQ.T_varQ10,Leaf_Nm,Leaf_Pm,Leaf_Na,Leaf_Pa,LMA,Vcmax_a_LfT,Vcmax_a_25,Vcmax_m_25,Rdarka:Vcmax_LfT,Rdarka:Vcmax_25C_varQ10,MAT,MeanT_WarmestQtr,Annual_Precip,Precip_Warmest_Qtr,Measuring_Month_MeanT,ai_yr,pet_yr
Peru-Amazon,TrRF_lw,ALP-01,-3.9491,-73.4346,120,99.89,Ishida,Pouteria subrotata,Sapotaceae,Pouteria,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,5th~25plus,10.02,0.401,336.1,27.87,1.50,27.98,69.6,10.4,2.23,1.95,1.18,8.2,1.36,1.23,8.5,1.36,9.4,1.39,9.6,19.83,0.55,2.86,80,144.0,47.6,37.1,257.8,0.03,0.03,26.3,26.8,2769,711,26.5,1.638,1690
Peru-Amazon,TrRF_lw,ALP-01,-3.9491,-73.4346,120,99.89,Ishida,Ruptiliocarpon caracolito,Lepidobotryaceae,Ruptiliocarpon,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,5th~25plus,6.75,0.306,345.0,27.77,1.54,27.97,67.0,15.3,2.23,1.95,1.22,12.1,1.40,1.26,12.6,1.40,13.9,1.43,14.2,38.63,1.13,3.89,110,100.7,33.3,26.2,260.1,0.05,0.05,26.3,26.8,2769,711,26.5,1.638,1690
Peru-Amazon,TrRF_lw,ALP-01,-3.9491,-73.4346,120,99.89,Ishida,Senefeldera inclinata,Euphorbiaceae,Senefeldera,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,5th~25plus,1.16,0.077,367.3,27.79,0.94,27.97,9.8,8.0,2.23,1.95,0.74,6.3,0.86,0.77,6.5,0.85,7.2,0.87,7.4,16.76,0.46,1.98,50,118.0,8.0,6.3,53.4,0.12,0.12,26.3,26.8,2769,711,26.5,1.638,1690
Peru-Amazon,TrRF_lw,ALP-01,-3.9491,-73.4346,120,99.89,Ishida,Solanum kioniotrichum,Solanaceae,Solanum,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,5th~25plus,0.69,0.124,383.4,27.72,1.42,27.88,8.1,16.5,2.23,1.95,1.12,13.1,1.30,1.17,13.6,1.29,15.1,1.32,15.4,22.06,0.92,1.89,80,85.6,7.7,6.1,71.4,0.18,0.19,26.3,26.8,2769,711,26.5,1.638,1690
Peru-Amazon,TrRF_lw,ALP-01,-3.9491,-73.4346,120,99.89,Ishida,Swartzia polyphylla,Fabaceae,Swartzia,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,5th~25plus,3.74,0.139,345.2,27.72,1.09,27.9,31.4,9.2,2.23,1.95,0.87,7.3,1.00,0.90,7.6,1.00,8.4,1.02,8.5,19.13,1.42,2.28,170,119.1,19.4,15.3,128.4,0.06,0.06,26.3,26.8,2769,711,26.5,1.638,1690
Peru-Amazon,TrRF_lw,ALP-01,-3.9491,-73.4346,120,99.89,Ishida,Taralea oppositifolia,Fabaceae,Taralea,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,5th~25plus,4.40,0.277,365.2,27.76,1.76,27.91,25.7,10.3,2.23,1.95,1.40,8.2,1.61,1.45,8.5,1.60,9.4,1.64,9.6,8.71,0.34,1.49,60,171.2,23.6,18.6,108.4,0.08,0.08,26.3,26.8,2769,711,26.5,1.638,1690
Peru-Amazon,TrRF_lw,ALP-30,-3.9543,-73.4267,120,99.89,Ishida,Aniba perutilis,Lauraceae,Aniba,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,5th~25plus,7.89,0.310,339.2,27.72,0.96,27.88,50.1,6.1,2.23,1.95,0.76,4.8,0.88,0.79,5.0,0.87,5.5,0.89,5.6,13.33,0.46,2.10,70,157.7,36.0,28.4,180.3,0.03,0.03,26.3,26.8,2762,708,26.4,1.633,1691
Peru-Amazon,TrRF_lw,ALP-30,-3.9543,-73.4267,120,99.89,Ishida,Aspidosperma desmanthum,Apocynaceae,Aspidosperma,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,5th~25plus,8.26,0.221,320.5,28.32,2.74,28.04,42.9,14.2,2.23,1.95,2.15,11.2,2.48,2.24,11.6,2.46,12.8,2.52,13.1,11.86,0.84,2.28,160,192.4,48.5,36.4,188.9,0.06,0.06,26.3,26.8,2762,708,26.4,1.633,1691
Peru-Amazon,TrRF_lw,ALP-30,-3.9543,-73.4267,120,99.89,Ishida,Aspidosperma excelsum,Apocynaceae,Aspidosperma,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,5th~25plus,6.33,0.251,343.9,27.85,1.81,28,44.8,12.8,2.23,1.95,1.42,10.1,1.65,1.48,10.5,1.63,11.5,1.67,11.8,10.84,0.58,1.53,80,141.2,33.0,25.7,182.1,0.06,0.06,26.3,26.8,2762,708,26.4,1.633,1691
Peru-Amazon,TrRF_lw,ALP-30,-3.9543,-73.4267,120,99.89,Ishida,Brosimum potabile,Moraceae,Brosimum,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,5th~25plus,3.60,0.077,315.5,28.05,1.74,28.16,24.2,11.7,2.23,1.95,1.35,9.1,1.56,1.41,9.5,1.55,10.4,1.59,10.7,13.96,0.72,2.08,110,148.8,23.6,18.1,121.5,0.07,0.08,26.3,26.8,2762,708,26.4,1.633,1691
