,Vcmax_m_25,Rdarka_25C_FixedQ10,Predicted Link,Species,Source Scientific,Destination Scientific
98,894.2,1.51,1,Betula papyrifera,Lupinus perennis,Lactuca indica
99,471.6,0.77,1,Picea glauca,Lupinus perennis,Lactuca ludoviciana
100,369.7,1.22,1,Pinus balsamea,Lupinus perennis,Lactuca ×morssii
101,380.7,0.47,1,Pinus strobus,Lupinus perennis,Lactuca saligna
102,823.6,1.81,1,Populus tremuloides,Lupinus perennis,Lactuca sativa
103,1036.5,1.19,1,Quercus macrocarpa,Lupinus perennis,Lactuca serriola
104,872.4,1.49,1,Quercus rubra,Lupinus perennis,Lactuca tatarica
105,927.9,1.03,1,Rhamnus cathartica,Lupinus perennis,Lactuca tatarica
106,,1.67,0,Acer rubrum,Lupinus perennis,Lactuca virosa
107,,2.04,0,Quercus prinus,Lupinus perennis,Montia bostockii
108,,1.9,0,Quercus rubra,Lupinus perennis,Montia chamissoi
109,,1.67,0,Acer rubrum,Lupinus perennis,Montia dichotoma
110,,1.8,0,Quercus prinus,Lupinus perennis,Montia diffusa
111,,1.56,0,Quercus rubra,Lupinus perennis,Montia fontana
112,258.0,1.88,1,Beyeria opaca ,Lupinus perennis,Montia howellii
113,438.0,1.6,1,Dodonaea angustissima,Lupinus perennis,Montia linearis
114,292.0,1.59,1,Dodonaea bursariifolia,Lupinus perennis,Montia L.
115,341.4,2.52,1,Eremophila glabra,Lupinus perennis,Montia parvifolia
116,162.1,1.01,1,Eucalyptus dumosa,Lupinus perennis,Montia parvifolia
117,161.2,1.12,1,Eucalyptus socialis,Lupinus perennis,Montia parvifolia
118,119.9,0.98,1,Grevillea huegelii,Lupinus perennis,Mycelis muralis
119,319.9,1.28,1,Myoporum platycarpum,Lupinus perennis,Ottelia alismoides
120,223.5,1.36,1,SenNAartemisioides ssp. filifolia ,Lupinus perennis,Pinaropappus Less.
121,,1.5,0,Triodia irritans,Lupinus perennis,Pinaropappus parvus
122,,,1,Pinus radiata,Lupinus perennis,Pinaropappus roseus
123,,,1,Acer rubrum,Lupinus perennis,Pinaropappus roseus
124,,,1,Acer saccharum,Lupinus perennis,Pinaropappus roseus
125,,,1,Betula papyrifera,Lupinus perennis,Pistia stratiotes
126,,,1,Ostrya virginiana,Lupinus perennis,Saxifraga micranthidifolia
127,,,1,Prunus virginiana,Lupinus perennis,Stephanomeria blairii
128,,,1,Quercus rubra,Lupinus perennis,Stephanomeria cichoriacea
129,,,1,Tilia americana,Lupinus perennis,Stephanomeria diegensis
130,402.4,0.24,1,Acer rubrum,Lupinus perennis,Stephanomeria elata
131,628.3,0.49,1,Prunus serotina,Lupinus perennis,Stephanomeria Nutt.
132,502.2,0.36,1,Quercus ellipsoidalis,Lupinus perennis,Stephanomeria exigua
133,662.6,0.48,1,Acer rubrum,Lupinus perennis,Stephanomeria exigua
134,728.3,0.66,1,Prunus serotina,Lupinus perennis,Stephanomeria exigua
135,571.2,0.58,1,Quercus ellipsoidalis,Lupinus perennis,Stephanomeria exigua
136,,1.92,0,Achillea millefolium,Lupinus perennis,Stephanomeria exigua
137,,0.86,0,Agropyron repens,Lupinus perennis,Stephanomeria exigua
138,,1.4,0,Agrostis scabra,Lupinus perennis,Stephanomeria fluminea
139,,1.55,0,Ambrosia artemisiifolia,Lupinus perennis,Stephanomeria lactucina
140,,1.14,0,Amorpha canescens,Lupinus perennis,Stephanomeria malheurensis
141,,0.89,0,Andropogon gerardi,Lupinus perennis,Stephanomeria minor
142,,1.1,0,Anemone cylindrica,Lupinus perennis,Stephanomeria minor
143,,1.51,0,Asclepias syriaca,Lupinus perennis,Stephanomeria minor
144,,1.31,0,Asclepias tuberosa,Lupinus perennis,Stephanomeria minor
145,,1.31,0,Aster azureus,Lupinus perennis,Stephanomeria paniculata
146,,1.25,0,Aster ericoides,Lupinus perennis,Stephanomeria parryi
147,,1.24,0,Astragalus canadensis,Lupinus perennis,Stephanomeria pauciflora
148,,1.17,0,Bouteloua curtipendula,Lupinus perennis,Stephanomeria runcinata
